name,address_line_1,city,state,zipcode,phone,email,website,hours
North Lisahaven Health Center,3019 Atkinson Hills,North Lisahaven,MH,89714,9936668719,linda09@example.org,https://duncan.com/,Mo - Su 9:00 - 19:00
Prestonland Medical Center,1489 Rivers Divide,Prestonland,NH,60265,1339700548,janice96@example.net,https://www.brown-welch.info/,Mo - Su 10:00 - 19:00
Elizabethfort Memorial Hospital,1964 Brown Parks Suite 868,Elizabethfort,SC,65650,7376706825,richardwhitney@example.com,http://parker.info/,Mo - Su 9:00 - 18:00
New Patricia Memorial Hospital,038 Kendra Loop Suite 671,New Patricia,CA,80403,1722044481,jennycurry@example.net,http://hickman.info/,Mo - Su 9:00 - 18:00
South Christina Health,0464 Jade Place,South Christina,WV,17454,7631602741,pforbes@example.org,http://www.williams-brooks.com/,Mo - Su 10:00 - 17:00
Joanborough Medical Center,606 Adams Corner Suite 269,Joanborough,VA,36952,6680370478,aewing@example.net,https://hale-bowers.com/,"Mo - Fr 10:00 - 19:00, Sa - Su Closed"
Benitezfort Medical Clinic,1973 Wright Shoal Apt. 610,Benitezfort,PW,25848,6598318031,stephaniebrown@example.net,http://www.wells-velez.info/,"Mo - Fr 8:00 - 16:00, Sa - Su Closed"
Russellmouth University Medical Group,826 Holland Vista,Russellmouth,VA,30751,2164585848,jason53@example.com,http://bell-perez.com/,Mo - Su 9:00 - 19:00
Frankfort Memorial Hospital,90613 Joseph Creek,Frankfort,ME,53763,8099559078,wrightchad@example.com,http://www.marshall-daniel.info/,"Mo - Fr 9:00 - 16:00, Sa - Su Closed"
East Jamiefort Clinic,21234 Wesley Fall,East Jamiefort,PR,37438,2051860790,greenmichael@example.com,https://www.robinson.com/,Mo - Su 7:00 - 17:00
Jessicamouth Medical Clinic,6175 Patrick Plaza Apt. 245,Jessicamouth,MP,88912,7519254700,justinballard@example.com,https://www.jordan-lam.com/,Mo - Su 7:00 - 19:00
Donnashire Medical Center,2869 Brent Port,Donnashire,AS,74531,2170382939,frederickmonica@example.org,http://benson.com/,Mo - Su 10:00 - 17:00
Kelleystad Health,1007 Herman Streets Apt. 623,Kelleystad,MA,11146,9363828150,martinezmelissa@example.com,https://www.raymond.info/,Mo - Su 9:00 - 16:00
North Robin Medical Clinic,95527 Nicole Flat,North Robin,CO,11612,4865185073,xfox@example.net,https://johnson.org/,Mo - Su 8:00 - 16:00
West Victoriafort Clinic,197 Price Hill,West Victoriafort,KY,98828,1596316487,poncecarlos@example.org,https://carroll-hood.net/,"Mo - Fr 9:00 - 17:00, Sa - Su Closed"
Kramershire Medical Clinic,70507 April Mission,Kramershire,IA,86597,3794909139,jmurphy@example.com,http://www.perez.com/,Mo - Su 10:00 - 16:00
East Clintonport Medical Center,219 Wanda Islands Apt. 307,East Clintonport,NY,68351,6901632982,maryharris@example.net,https://www.ramos.org/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
North Courtney Clinic,989 Williams Shore Suite 233,North Courtney,ME,17662,6830681863,fortiz@example.net,http://murphy.org/,Mo - Su 8:00 - 17:00
New Cindy Group,639 Stephanie Cliffs,New Cindy,AS,36905,8007498449,laura94@example.com,http://kim.com/,Mo - Su 10:00 - 16:00
Mccoymouth Clinic,95152 Christy Harbors Apt. 821,Mccoymouth,NY,59098,6710553860,markwilliams@example.com,http://www.finley.com/,Mo - Su 7:00 - 17:00
Taylorborough Clinic,87073 Michael Plaza,Taylorborough,PR,62941,7463030291,thomasosborne@example.net,https://howell-ewing.com/,Mo - Su 7:00 - 19:00
Barrfurt Medical,265 Amanda Mountain Apt. 474,Barrfurt,WY,34086,4681551033,vancekristin@example.net,http://wilson.net/,Mo - Su 8:00 - 16:00
New Davidchester University Medical Group,92397 Sara Turnpike,New Davidchester,NJ,93098,6830466634,keith41@example.net,http://hinton.org/,Mo - Su 9:00 - 19:00
Seanborough Medical,8911 Boyd Forge Apt. 469,Seanborough,TX,31361,3842179761,ricardowaller@example.org,http://rowe.com/,Mo - Su 7:00 - 17:00
South Greg Medical Clinic,739 Brown Spring Suite 218,South Greg,MD,61864,1967269217,kylesantiago@example.com,https://salinas.com/,Mo - Su 7:00 - 18:00
East William Medical Clinic,7723 Jacobs Landing,East William,OK,93268,9676121011,nancy09@example.com,https://rogers.com/,Mo - Su 9:00 - 19:00
Sanchezchester Health Center,8283 Amanda Crest,Sanchezchester,PW,41552,2910483879,juliewelch@example.com,https://www.higgins-snyder.com/,Mo - Su 8:00 - 19:00
Johnsonchester Medical Center,43914 Maria Field Apt. 795,Johnsonchester,GU,38186,7844379457,elizabethmiller@example.net,http://moore.org/,Mo - Su 9:00 - 18:00
Bellhaven Health,409 Lopez Trail Suite 666,Bellhaven,OR,36613,7136303898,jfigueroa@example.org,http://perry.com/,Mo - Su 7:00 - 16:00
Port Joelhaven Clinic,68536 Evans Pine,Port Joelhaven,NE,53714,5911464010,bduncan@example.org,https://www.bryant.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
South Julie Medical Clinic,2968 Brandon Corners Apt. 542,South Julie,MA,20612,9210842692,kayleewhite@example.com,https://cunningham-hale.com/,Mo - Su 8:00 - 17:00
Lake Jasmine Clinic,01882 Aaron Port Apt. 124,Lake Jasmine,NJ,28242,5643947579,aknapp@example.org,http://www.thomas.com/,"Mo - Fr 10:00 - 16:00, Sa - Su Closed"
Port Isabelton University Medical Group,6705 Guzman Fords,Port Isabelton,MD,51147,1465927844,xweber@example.com,http://www.peterson.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
Brandonmouth University Medical Group,12146 Mary Parkway Suite 941,Brandonmouth,PR,92953,8712382322,hallgary@example.com,http://howell-williams.biz/,"Mo - Fr 9:00 - 16:00, Sa - Su Closed"
Romerofort University Medical Group,402 Brooks Light,Romerofort,OH,33304,2039176957,bcervantes@example.net,http://www.smith.com/,"Mo - Fr 10:00 - 16:00, Sa - Su Closed"
South Lisaton Memorial Hospital,8035 Kelsey Hill,South Lisaton,PA,68578,4488825034,raymond00@example.net,https://www.miller.com/,Mo - Su 9:00 - 18:00
Jamesfort Memorial Hospital,01097 Browning Squares Apt. 926,Jamesfort,AZ,33457,2954134042,erik90@example.com,http://www.wilson.com/,"Mo - Fr 7:00 - 16:00, Sa - Su Closed"
Bradfordton Clinic,4521 Olivia Oval Suite 486,Bradfordton,PW,20346,8547698968,nwilkins@example.com,https://www.potts.com/,Mo - Su 10:00 - 17:00
West Marissaberg University Medical Group,0417 Barrera Trace Apt. 449,West Marissaberg,PR,10306,6188509624,parkbrian@example.com,https://booker-jones.info/,Mo - Su 8:00 - 16:00
Edwardmouth Clinic,09533 Becky Row Apt. 433,Edwardmouth,AS,83407,1945565363,kimberlysmith@example.org,https://www.benton-cannon.com/,Mo - Su 10:00 - 18:00
South Ronald University Medical Group,82657 Chase Square Suite 220,South Ronald,VT,68450,6046364819,stewartmario@example.org,http://holland.com/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
Hansenstad Clinic,055 Doyle Cliffs,Hansenstad,UT,24416,5200597618,andrewmooney@example.org,http://tran.biz/,"Mo - Fr 9:00 - 19:00, Sa - Su Closed"
Toddborough Health,51365 Crawford Mission,Toddborough,PW,21677,3767048465,amyers@example.org,https://www.armstrong-cuevas.com/,Mo - Su 9:00 - 17:00
Nicholasside Clinic,0804 Buckley Rapids,Nicholasside,MD,60227,5135567035,fwoodard@example.org,http://www.garza-roberts.biz/,Mo - Su 7:00 - 19:00
Andersonville University Medical Group,656 Sarah Fall Apt. 331,Andersonville,IL,94170,3015189698,michelle09@example.com,http://www.tucker.info/,"Mo - Fr 10:00 - 16:00, Sa - Su Closed"
North Barbara Medical Clinic,3578 Watkins Manor,North Barbara,NY,89714,2836275875,davisjohn@example.org,http://moore-johnson.com/,"Mo - Fr 10:00 - 18:00, Sa - Su Closed"
West Aaron Medical,9469 Osborn Park,West Aaron,WV,28609,4656830839,owilliams@example.com,http://www.villa.com/,"Mo - Fr 9:00 - 16:00, Sa - Su Closed"
South Dalehaven Medical,942 Price Ford,South Dalehaven,RI,61377,9202650631,cynthiawilliams@example.org,http://www.reynolds.biz/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
Johnsonfurt Memorial Hospital,614 Atkinson Burgs,Johnsonfurt,LA,92612,8062986060,mackjane@example.com,http://martinez-roberts.biz/,Mo - Su 10:00 - 19:00
Codystad Medical Clinic,31146 Kari Causeway,Codystad,MS,82913,8739067409,fhill@example.com,http://rivers-mayer.biz/,"Mo - Fr 9:00 - 16:00, Sa - Su Closed"
Simonstad Clinic,7225 Hamilton Burg Suite 601,Simonstad,TN,56140,7098483122,peterscody@example.com,https://riggs-norman.com/,"Mo - Fr 9:00 - 19:00, Sa - Su Closed"
Brittneyborough Health,723 Gregory Dam,Brittneyborough,MA,42505,6884030990,lawrence20@example.com,http://www.cunningham-scott.com/,Mo - Su 8:00 - 17:00
Gonzalezburgh Medical Center,51158 Adam Crest,Gonzalezburgh,MI,57940,3216446990,john24@example.com,https://www.green.com/,"Mo - Fr 8:00 - 16:00, Sa - Su Closed"
Johnshire Group,04177 Jennifer Creek Suite 933,Johnshire,IN,50755,9093965109,gibsonandrew@example.net,http://fowler-steele.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
Webbport Group,049 Meyer Fall Apt. 858,Webbport,NH,77768,3751684010,tmoore@example.org,http://stewart-smith.com/,"Mo - Fr 9:00 - 17:00, Sa - Su Closed"
West Josephport Medical Center,8801 Alexander Cliffs,West Josephport,PW,32256,7089682665,johnsonkim@example.com,https://www.randolph.com/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
Contrerashaven Medical Center,32065 Anderson Branch Suite 114,Contrerashaven,AL,38889,6853336748,vmorales@example.net,https://www.martinez-taylor.com/,Mo - Su 7:00 - 19:00
East Victoria Health Center,236 Thompson Meadow,East Victoria,SD,00865,5968508497,simscandice@example.com,http://www.proctor.com/,Mo - Su 9:00 - 17:00
New Linda Medical Center,79631 Kenneth Burg Suite 122,New Linda,MT,81087,2351170638,brockcynthia@example.org,http://lopez-brown.org/,Mo - Su 10:00 - 19:00
West Jorgeborough Health,89811 Ward Brook Suite 407,West Jorgeborough,KY,00874,1844617714,jenniferflores@example.com,http://www.morton.biz/,Mo - Su 9:00 - 17:00
Jamieberg Health Center,40004 Trevor Plains Apt. 408,Jamieberg,WI,40975,8111894214,lewisdwayne@example.net,https://singh.net/,Mo - Su 10:00 - 18:00
Karenton Medical,3898 Baldwin Isle,Karenton,CO,50647,4643831011,hayestodd@example.org,http://hawkins.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
Timothystad Medical Center,258 Valenzuela Isle,Timothystad,CT,25855,3726708435,greenjacqueline@example.com,http://www.bailey.com/,Mo - Su 8:00 - 17:00
Staceyborough Medical,264 Perry Lane,Staceyborough,PW,67959,6285177445,pmccullough@example.net,http://parsons.com/,Mo - Su 9:00 - 17:00
New Diana Group,973 Wilson Inlet Apt. 828,New Diana,AR,19260,5594024966,harpermichael@example.net,https://www.perry-miller.biz/,"Mo - Fr 8:00 - 16:00, Sa - Su Closed"
New Jessica Memorial Hospital,792 Clarke Stream Suite 265,New Jessica,AS,36937,1494364111,sandra17@example.com,https://www.maynard.com/,Mo - Su 10:00 - 16:00
East Loriberg Memorial Hospital,0339 Michael Parks,East Loriberg,CT,84329,7247271265,allentara@example.org,https://www.anderson.com/,"Mo - Fr 9:00 - 16:00, Sa - Su Closed"
Jamesmouth University Medical Group,0385 Kelsey Forge Apt. 308,Jamesmouth,NJ,70597,8691061735,jason50@example.org,https://goodman.biz/,"Mo - Fr 9:00 - 19:00, Sa - Su Closed"
Fernandeztown Health,63878 Joe Port,Fernandeztown,NC,84654,1684971152,beasleykelly@example.net,https://www.duncan-crawford.biz/,Mo - Su 10:00 - 16:00
Samanthaburgh Clinic,7641 Anthony Hill,Samanthaburgh,GA,08615,1394122807,dhopkins@example.org,https://rice.com/,Mo - Su 7:00 - 16:00
South Rachel Health Center,30259 Austin Route,South Rachel,AZ,54965,1970108307,bushjohn@example.org,https://howard.com/,"Mo - Fr 7:00 - 16:00, Sa - Su Closed"
Perryborough Clinic,18588 Cordova Field Apt. 340,Perryborough,PW,29066,3077235114,dcampbell@example.com,http://www.gibson.com/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
New Christopher Clinic,74862 Wheeler Ridges,New Christopher,CA,18375,8192248965,victorchapman@example.org,http://www.mata.info/,Mo - Su 9:00 - 17:00
South Williamshire Group,69146 Stewart Crescent Suite 382,South Williamshire,OK,02813,2324421634,cassandra51@example.net,https://www.drake.com/,"Mo - Fr 10:00 - 19:00, Sa - Su Closed"
Port Alicia Medical Center,862 Garrett Springs Apt. 381,Port Alicia,NY,26019,3133494688,justin55@example.net,http://chapman-kent.info/,Mo - Su 7:00 - 17:00
North Erica Memorial Hospital,39915 Julia Mountains,North Erica,MO,24070,5431046869,sharris@example.org,https://reed-smith.com/,Mo - Su 9:00 - 16:00
Marioshire Memorial Hospital,078 Wheeler Corner Apt. 663,Marioshire,NH,81336,5515354165,taylor30@example.net,http://garcia.org/,Mo - Su 10:00 - 16:00
Georgeport Medical Center,37947 Donald Throughway Apt. 486,Georgeport,CA,77747,3116337241,patricia64@example.net,https://www.johnson.net/,Mo - Su 9:00 - 19:00
Lake Cynthia University Medical Group,389 Rachel Fields Suite 626,Lake Cynthia,IN,65138,2217832934,lhoward@example.org,http://www.schmidt-booker.com/,"Mo - Fr 7:00 - 19:00, Sa - Su Closed"
Bennettborough University Medical Group,002 Brian Point,Bennettborough,AK,13691,3167722217,jesse09@example.net,http://www.patel.com/,Mo - Su 7:00 - 17:00
Lake Johnton Medical Clinic,68211 Stacy Neck Apt. 348,Lake Johnton,ND,98035,7705340779,martinsamantha@example.org,https://www.daniel-shields.com/,Mo - Su 9:00 - 19:00
South Kristenbury Health,21476 John Land Suite 391,South Kristenbury,AL,33825,1319066578,uanderson@example.org,https://pena.com/,"Mo - Fr 7:00 - 16:00, Sa - Su Closed"
North Joanne University Medical Group,0391 Ingram Isle,North Joanne,SD,18867,6967518791,hhood@example.net,http://rodriguez.com/,Mo - Su 9:00 - 16:00
Amberfurt Group,44280 Stokes Neck Suite 841,Amberfurt,MI,80396,7171632575,nicole46@example.org,https://www.moss.com/,Mo - Su 7:00 - 18:00
New Melvinstad Clinic,25580 Kelly Shoal Suite 300,New Melvinstad,WA,82142,1530161273,steven82@example.net,http://jordan.com/,Mo - Su 10:00 - 19:00
Baileyfurt Clinic,6499 Mcmahon Manor,Baileyfurt,RI,79854,3766143731,sarah01@example.net,http://taylor.org/,"Mo - Fr 7:00 - 17:00, Sa - Su Closed"
Lake Jessica University Medical Group,3186 Hooper Islands Suite 129,Lake Jessica,ID,29673,7424684592,jeffreyclark@example.net,https://robinson-boyd.com/,Mo - Su 10:00 - 19:00
Wardton Memorial Hospital,5889 Kirby Views,Wardton,HI,61089,2433593020,james85@example.net,https://barton.com/,"Mo - Fr 10:00 - 17:00, Sa - Su Closed"
South Mary Clinic,223 Martin Key Apt. 944,South Mary,AS,26488,7649672452,kevin70@example.org,http://lucas-russell.com/,Mo - Su 8:00 - 19:00
Tamiborough University Medical Group,70062 Amanda Square,Tamiborough,MS,55616,5208540673,leecharles@example.com,http://walsh.com/,Mo - Su 9:00 - 19:00
Port Derek Group,626 Lam Mills,Port Derek,DC,06725,8234882408,isaachudson@example.com,http://chavez.com/,Mo - Su 8:00 - 18:00
Jessicamouth Clinic,9383 John Bridge,Jessicamouth,NH,66352,7648658305,erika80@example.com,http://wells.com/,Mo - Su 10:00 - 16:00
Grahamshire Health Center,174 Montgomery Trafficway,Grahamshire,AK,51254,5262163397,joshuasmith@example.net,https://perez.com/,Mo - Su 8:00 - 16:00
Taylorhaven Health,701 Benton Crossing Suite 676,Taylorhaven,LA,31956,5224593680,gonzalezmaureen@example.com,https://www.harris.com/,"Mo - Fr 7:00 - 16:00, Sa - Su Closed"
Thomaston Medical,08943 Martin Creek,Thomaston,MI,36393,6326146308,xpeterson@example.org,https://www.peters.info/,"Mo - Fr 8:00 - 16:00, Sa - Su Closed"
Martinside Group,257 Walls Center,Martinside,CO,46969,9395317541,carlos46@example.net,https://glass.com/,"Mo - Fr 8:00 - 16:00, Sa - Su Closed"
New James Memorial Hospital,629 James Circle,New James,TX,79372,1864784364,jonathanbishop@example.org,http://www.dillon.com/,Mo - Su 9:00 - 17:00
Pierceborough University Medical Group,494 Irwin Dam Suite 474,Pierceborough,CT,66748,3831290291,benjamin79@example.com,http://www.smith-williams.info/,Mo - Su 7:00 - 17:00
Brownshire Health Center,140 Andrew Plain,Brownshire,PW,34642,5048168546,julia35@example.com,https://hobbs.com/,"Mo - Fr 7:00 - 19:00, Sa - Su Closed"
Franklintown Health,39708 Jennifer Trail,Franklintown,CT,27455,8154938564,millerelizabeth@example.org,https://www.barry-nichols.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
Hughesshire Clinic,110 Amber Lights Suite 904,Hughesshire,OH,16420,6132272631,brandonkane@example.org,https://www.garcia.net/,Mo - Su 9:00 - 18:00
Nelsonborough Health,76937 David Square Apt. 436,Nelsonborough,PW,18231,7305706773,pross@example.org,http://www.carr.com/,"Mo - Fr 9:00 - 19:00, Sa - Su Closed"
Hamptonton University Medical Group,966 Cherry Square,Hamptonton,AL,41354,6226790112,jbrown@example.com,https://johnson.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
